s_no,Class,ClassID,Latitude,Longitude
1,Natural Vegetation,3,34.133042296,77.502827685
2,Natural Vegetation,3,34.131855721,77.502824648
3,Natural Vegetation,3,34.131310902,77.508318167
4,Natural Vegetation,3,34.126736511,77.507776477
5,Natural Vegetation,3,34.127233288,77.514034472
6,Natural Vegetation,3,34.126545983,77.515514668
7,Natural Vegetation,3,34.12534631,77.521182372
8,Natural Vegetation,3,34.123658918,77.517991162
9,Natural Vegetation,3,34.121917002,77.519973681
10,Natural Vegetation,3,34.12292401,77.524341819
11,Natural Vegetation,3,34.121098095,77.522278744
12,Natural Vegetation,3,34.120636513,77.513433993
13,Natural Vegetation,3,34.11607744,77.524144539
14,Natural Vegetation,3,34.120328116,77.525685137
15,Natural Vegetation,3,34.117343664,77.526352164
16,Natural Vegetation,3,34.117595874,77.529677013
17,Natural Vegetation,3,34.112822662,77.524608165
18,Natural Vegetation,3,34.124167718,77.530370164
19,Natural Vegetation,3,34.124267393,77.534963135
20,Natural Vegetation,3,34.119913272,77.532589865
21,Natural Vegetation,3,34.112488074,77.529926486
22,Natural Vegetation,3,34.121829786,77.537328759
23,Natural Vegetation,3,34.116858997,77.543031947
24,Natural Vegetation,3,34.117752359,77.548735159
25,Natural Vegetation,3,34.11324735,77.548819373
26,Natural Vegetation,3,34.109519402,77.55112454
27,Natural Vegetation,3,34.10645483,77.549551938
28,Natural Vegetation,3,34.115378857,77.560707658
29,Natural Vegetation,3,34.113730159,77.562042265
30,Natural Vegetation,3,34.111856451,77.565872317
31,Natural Vegetation,3,34.112169768,77.556806178
32,Natural Vegetation,3,34.111137742,77.562240226
33,Natural Vegetation,3,34.106376149,77.563170612
34,Natural Vegetation,3,34.109688976,77.566747542
35,Natural Vegetation,3,34.110765634,77.568410829
36,Natural Vegetation,3,34.118399139,77.572707842
37,Natural Vegetation,3,34.116888049,77.575142593
38,Natural Vegetation,3,34.11558472,77.577076894
39,Natural Vegetation,3,34.110008991,77.576421235
40,Natural Vegetation,3,34.108685085,77.577824831
41,Natural Vegetation,3,34.103743847,77.569020854
42,Natural Vegetation,3,34.105110948,77.580028831
43,Natural Vegetation,3,34.110935709,77.580717117
44,Natural Vegetation,3,34.113055641,77.580596461
45,Natural Vegetation,3,34.111543368,77.584993958
46,Natural Vegetation,3,34.109188499,77.583706593
47,Natural Vegetation,3,34.100283349,77.578078505
48,Natural Vegetation,3,34.103549422,77.586778423
49,Natural Vegetation,3,34.09696289,77.585203487
50,Natural Vegetation,3,34.098522817,77.589928023
51,Natural Vegetation,3,34.099557804,77.595272901
52,Natural Vegetation,3,34.09699826,77.596898756
53,Natural Vegetation,3,34.094765305,77.596930936
54,Natural Vegetation,3,34.096010197,77.598773376
55,Natural Vegetation,3,34.093666076,77.600010389
56,Natural Vegetation,3,34.089830822,77.593495685
57,Natural Vegetation,3,34.091230119,77.597513313
58,Natural Vegetation,3,34.092112314,77.604976956
59,Natural Vegetation,3,34.088921337,77.606727575
60,Natural Vegetation,3,34.087358666,77.600853167
61,Natural Vegetation,3,34.084301399,77.59599872
62,Natural Vegetation,3,34.084007377,77.599642169
63,Natural Vegetation,3,34.078763916,77.59860755
64,Natural Vegetation,3,34.079880108,77.606897377
65,Natural Vegetation,3,34.076916102,77.601929779
66,Natural Vegetation,3,34.074348934,77.60021862
67,Natural Vegetation,3,34.0734708,77.603551295
68,Natural Vegetation,3,34.0707419,77.603121117
69,Natural Vegetation,3,34.076886345,77.610546953
70,Natural Vegetation,3,34.081093657,77.621533431
71,Natural Vegetation,3,34.081948916,77.626211727
72,Natural Vegetation,3,34.087358851,77.622350251
73,Natural Vegetation,3,34.076851792,77.622832862
74,Natural Vegetation,3,34.079166499,77.625454619
75,Natural Vegetation,3,34.083432201,77.629263244
76,Natural Vegetation,3,34.078610537,77.628395641
77,Natural Vegetation,3,34.069385209,77.607891779
78,Natural Vegetation,3,34.069284915,77.610958608
79,Natural Vegetation,3,34.070018877,77.632170042
80,Natural Vegetation,3,34.070024136,77.624937925
81,Natural Vegetation,3,34.062171467,77.615735728
82,Natural Vegetation,3,34.060044819,77.61987194
83,Natural Vegetation,3,34.060863684,77.625908425
84,Natural Vegetation,3,34.070703881,77.638671241
85,Natural Vegetation,3,34.069719022,77.646258521
86,Natural Vegetation,3,34.067825053,77.649012616
87,Natural Vegetation,3,34.065633886,77.644170374
88,Natural Vegetation,3,34.056618188,77.629834571
89,Natural Vegetation,3,34.055089386,77.628384427
90,Natural Vegetation,3,34.052645542,77.630591369
91,Natural Vegetation,3,34.047857047,77.632509566
92,Natural Vegetation,3,34.050733908,77.636894854
93,Natural Vegetation,3,34.05840872,77.644424024
94,Natural Vegetation,3,34.061430272,77.646807724
95,Natural Vegetation,3,34.064613884,77.651722269
96,Natural Vegetation,3,34.063371932,77.654757122
97,Natural Vegetation,3,34.061649725,77.657932125
98,Natural Vegetation,3,34.058949818,77.666658319
99,Natural Vegetation,3,34.050895801,77.663333854
100,Natural Vegetation,3,34.044874315,77.662654043
101,Natural Vegetation,3,34.036208087,77.668733671
