Name,latitude,longitude
L1,32.97807439,78.28953275
L2,32.96899824,78.28122164
L3,32.96042155,78.28799244
L4,32.97719905,78.30449673
L5,32.96195224,78.31065985
L6,32.99049853,78.27847934
L7,32.95167607,78.28198098
L8,32.94948582,78.31100591
L9,32.94580973,78.2982904
L10,32.93723435,78.28854374
L11,32.94322197,78.32059842
L12,32.9361475,78.30979662
L13,32.93038124,78.32120597
L14,32.92821547,78.29441606
L15,32.92104152,78.32826176
L16,32.98255315,78.27612373
L17,32.91840891,78.29686488
L18,32.90910484,78.29462079
L19,32.90414919,78.31642164
L20,32.89883552,78.30245352
L21,32.90897549,78.34205005
L22,32.89523346,78.3141437
L23,32.88271982,78.31704605
L24,32.88693463,78.30251731
L25,32.8929621,78.33850215
L26,32.87652185,78.2947861
L27,32.87995084,78.33958408
L28,32.86964901,78.32045819
L29,32.99551343,78.2708398
L30,32.86755481,78.30157691
L31,32.86190204,78.30088782
L32,32.85610226,78.33102584
L33,32.84447622,78.30815552
L34,32.84252488,78.32893481
L35,32.8361915,78.32929826
L36,32.83871632,78.29888502
L37,32.83086944,78.31590648
L38,32.82303425,78.30698726
L39,32.82447997,78.33152031
L40,32.82592509,78.34709578
L41,32.81449861,78.31718576
L42,32.81818423,78.33438962
L43,32.81396228,78.35307861
L44,32.80654494,78.33186161
L45,32.80886203,78.31394039
L46,33.11602496,78.30842335
L47,33.11197679,78.3057806
L48,33.11166291,78.31260753
L49,33.10950628,78.30179128
L50,33.1084016,78.30954511
L51,33.10647353,78.29889668
L52,33.10671899,78.30695521
L53,33.10399982,78.3031359
L54,33.1021397,78.29913333
L55,33.10464402,78.29626826
L56,33.10065558,78.30196566
L57,33.09981494,78.29568
L58,33.09639359,78.29865287
L59,33.09767893,78.29547182
L60,33.09432319,78.29725914
L61,33.25053811,78.04447129
L62,33.24847296,78.04440213
L63,33.2492736,78.04844584
L64,33.24887297,78.04220764
L65,33.24633138,78.04250756
L66,33.25462974,78.04259779
L67,33.25275539,78.03869838
L68,33.25223108,78.04855661
L69,33.25909105,78.03700234
L70,33.24472452,78.04536806
L71,33.30653096,77.96532775
L72,33.31672319,77.98297871
L73,33.30657687,77.9633412
L74,33.30797544,77.9615223
L75,33.31768278,77.95644556
L76,33.31537865,77.95458332
L77,33.30688514,77.96227361
L78,33.30606568,77.96245126
L79,33.32343298,77.97883594
L80,33.32287495,77.9792331
L81,32.92549558,78.60447503
L82,32.92164387,78.60160592
L84,32.91948553,78.59791341
L85,32.91816911,78.5964328
L86,32.91648103,78.59282494
L88,32.98647393,78.59932435
L89,32.97807014,78.59932854
L90,32.98246201,78.5945875
L91,32.97953896,78.59273233
L92,32.97648196,78.59125763
L93,32.98743471,78.59313881
L94,33.3154962,78.48123911
L95,33.31358202,78.48320371
L96,33.31650865,78.47861313
L97,33.31370484,78.47926049
