SNO,Class,Latitude,Longitude
1,Vegetation,34.582588,77.468266
2,Vegetation,34.579357,77.469897
3,Vegetation,34.581962,77.472689
4,Vegetation,34.583411,77.474502
5,Vegetation,34.581271,77.4766
6,Vegetation,34.581329,77.479431
7,Vegetation,34.581016,77.480789
8,Vegetation,34.580708,77.484471
9,Vegetation,34.583565,77.480618
10,Vegetation,34.584087,77.481885
11,Vegetation,34.584672,77.483688
12,Vegetation,34.584544,77.486392
13,Vegetation,34.585698,77.482034
14,Vegetation,34.586419,77.480333
15,Vegetation,34.58865,77.480907
16,Vegetation,34.589934,77.484957
17,Vegetation,34.593291,77.48415
18,Vegetation,34.593855,77.482729
19,Vegetation,34.593644,77.480847
20,Vegetation,34.589483,77.47858
21,Vegetation,34.587212,77.47854
22,Vegetation,34.585223,77.477431
23,Vegetation,34.582392,77.478563
24,Vegetation,34.585199,77.473835
25,Vegetation,34.588116,77.474879
26,Vegetation,34.589187,77.476453
27,Vegetation,34.592006,77.47877
28,Vegetation,34.595478,77.480668
29,Vegetation,34.584406,77.469469
30,Vegetation,34.586543,77.471844
31,Vegetation,34.590846,77.47405
32,Vegetation,34.593305,77.474172
33,Vegetation,34.591959,77.47097
34,Vegetation,34.585797,77.469129
35,Vegetation,34.585177,77.46751
36,Vegetation,34.583991,77.464917
37,Vegetation,34.587272,77.466891
38,Vegetation,34.591095,77.469089
39,Vegetation,34.589242,77.466464
40,Vegetation,34.586219,77.465805
41,Vegetation,34.585056,77.462534
42,Vegetation,34.585218,77.46017
43,Vegetation,34.587566,77.459767
44,Vegetation,34.586473,77.461538
45,Vegetation,34.587062,77.463144
46,Vegetation,34.588382,77.465073
47,Vegetation,34.589036,77.462176
48,Vegetation,34.591638,77.466745
49,Vegetation,34.590261,77.459819
50,Vegetation,34.591496,77.46029
51,Vegetation,34.593944,77.460784
52,Vegetation,34.595062,77.462196
53,Vegetation,34.592731,77.458831
54,Vegetation,34.594935,77.457751
55,Vegetation,34.596951,77.455647
56,Vegetation,34.597359,77.459905
57,Vegetation,34.599964,77.454406
58,Vegetation,34.602569,77.456125
59,Vegetation,34.602935,77.454238
60,Vegetation,34.604238,77.459411
61,Vegetation,34.605909,77.463782
62,Vegetation,34.605553,77.456992
63,Vegetation,34.607231,77.45826
64,Vegetation,34.604899,77.452878
65,Vegetation,34.607673,77.449479
66,Vegetation,34.611153,77.452867
67,Vegetation,34.613044,77.448061
68,Vegetation,34.618437,77.44313
69,Vegetation,34.620031,77.441423
70,Vegetation,34.622445,77.444589
71,Vegetation,34.62422,77.44648
72,Vegetation,34.622716,77.441881
73,Vegetation,34.623229,77.439958
74,Vegetation,34.624096,77.436327
75,Vegetation,34.627755,77.439222
76,Vegetation,34.625323,77.432697
77,Vegetation,34.629817,77.432934
78,Vegetation,34.634547,77.4345
79,Vegetation,34.551981,77.530938
80,Vegetation,34.553425,77.533601
81,Vegetation,34.554546,77.536061
82,Vegetation,34.557335,77.53284
83,Vegetation,34.557886,77.538339
84,Vegetation,34.553122,77.547074
85,Vegetation,34.551957,77.549969
86,Vegetation,34.549598,77.55206
87,Vegetation,34.548336,77.553425
88,Vegetation,34.549414,77.554612
89,Vegetation,34.546402,77.555235
90,Vegetation,34.54827,77.558346
91,Vegetation,34.550235,77.564401
92,Vegetation,34.548815,77.565387
93,Vegetation,34.552323,77.562137
94,Vegetation,34.553286,77.560031
95,Vegetation,34.577927,77.624165
96,Vegetation,34.579094,77.62448
97,Vegetation,34.580607,77.621681
98,Vegetation,34.583586,77.618711
99,Vegetation,34.585359,77.619783
100,Vegetation,34.584394,77.616974
101,Vegetation,34.586316,77.617253
102,Vegetation,34.590356,77.614526
103,Seabuck Thorn,34.590461,77.492692
104,Seabuck Thorn,34.591675,77.488163
105,Seabuck Thorn,34.575985,77.491199
106,Seabuck Thorn,34.574293,77.493702
107,Seabuck Thorn,34.574519,77.496813
108,Seabuck Thorn,34.576961,77.493395
109,Seabuck Thorn,34.583749,77.496649
110,Seabuck Thorn,34.581867,77.500634
111,Seabuck Thorn,34.580096,77.504304
112,Seabuck Thorn,34.576843,77.49851
113,Seabuck Thorn,34.590953,77.499015
114,Seabuck Thorn,34.586619,77.497945
115,Seabuck Thorn,34.58284,77.507044
116,Seabuck Thorn,34.583062,77.503494
117,Seabuck Thorn,34.581534,77.514595
118,Seabuck Thorn,34.576605,77.502826
119,Seabuck Thorn,34.576085,77.507827
120,Seabuck Thorn,34.569332,77.513764
121,Seabuck Thorn,34.578662,77.520521
122,Seabuck Thorn,34.574807,77.522934
123,Seabuck Thorn,34.569232,77.520152
124,Seabuck Thorn,34.578242,77.531255
125,Seabuck Thorn,34.59386,77.538726
126,Seabuck Thorn,34.579528,77.538751
127,Seabuck Thorn,34.581494,77.548158
128,Seabuck Thorn,34.574642,77.544885
129,Seabuck Thorn,34.571533,77.55302
130,Seabuck Thorn,34.562089,77.554099
131,Seabuck Thorn,34.577366,77.573563
132,Seabuck Thorn,34.579896,77.587478
133,Seabuck Thorn,34.590838,77.603153
134,Seabuck Thorn,34.581219,77.611732
135,Seabuck Thorn,34.591676,77.59119
136,Seabuck Thorn,34.610753,77.610765
137,Seabuck Thorn,34.615424,77.593227
138,Seabuck Thorn,34.60958,77.597295
139,Seabuck Thorn,34.616727,77.600634
140,Seabuck Thorn,34.617928,77.610263
141,Water,34.648345,77.443814
142,Water,34.64088,77.451987
143,Water,34.628125,77.461453
144,Water,34.616936,77.468626
145,Water,34.619447,77.474429
146,Water,34.618873,77.477253
147,Water,34.612267,77.470032
148,Water,34.607258,77.475917
149,Water,34.609785,77.485984
150,Water,34.600478,77.485347
151,Water,34.594788,77.485894
152,Water,34.60176,77.494069
153,Water,34.597984,77.508536
154,Water,34.593912,77.497653
155,Water,34.595816,77.528742
156,Water,34.585909,77.519417
157,Water,34.582023,77.519746
158,Water,34.590386,77.529569
159,Water,34.587267,77.542233
160,Water,34.582893,77.532184
161,Water,34.592242,77.556924
162,Water,34.58805,77.57389
163,Water,34.593905,77.588063
164,Water,34.581433,77.592704
165,Water,34.599634,77.604002
166,Water,34.605833,77.602421
167,Water,34.608753,77.589518
168,Water,34.576812,77.603145
169,Water,34.571272,77.604918
170,Water,34.564025,77.611032
171,Water,34.558774,77.60647
172,Sand,34.648082,77.42257
173,Sand,34.65053,77.431766
174,Sand,34.646471,77.42974
175,Sand,34.644989,77.432242
176,Sand,34.646719,77.436738
177,Sand,34.650854,77.437526
178,Sand,34.646949,77.440053
179,Sand,34.644501,77.442194
180,Sand,34.643475,77.437201
181,Sand,34.642028,77.441883
182,Sand,34.645563,77.447373
183,Sand,34.650927,77.444938
184,Sand,34.645703,77.452621
185,Sand,34.639047,77.446269
186,Sand,34.636348,77.455209
187,Sand,34.631159,77.45606
188,Sand,34.621317,77.465806
189,Sand,34.621256,77.46941
190,Sand,34.621064,77.471307
191,Sand,34.618611,77.472308
192,Sand,34.613448,77.472344
193,Sand,34.610215,77.472879
194,Sand,34.608522,77.483584
195,Sand,34.602139,77.482475
196,Sand,34.605402,77.48737
197,Sand,34.607966,77.488452
198,Sand,34.59773,77.494369
199,Sand,34.596466,77.500437
200,Sand,34.605902,77.498221
201,Sand,34.604699,77.504569
202,Sand,34.602104,77.510269
203,Sand,34.60029,77.516583
204,Sand,34.603851,77.514286
205,Sand,34.586091,77.506665
206,Sand,34.584636,77.511974
207,Sand,34.585564,77.517248
208,Sand,34.589051,77.516873
209,Sand,34.591755,77.521074
210,Sand,34.592385,77.526088
211,Sand,34.595135,77.532368
212,Sand,34.591638,77.532518
213,Sand,34.584747,77.527945
214,Sand,34.58763,77.539907
215,Sand,34.58942,77.543014
216,Sand,34.589789,77.555862
217,Sand,34.583852,77.55525
218,Sand,34.582348,77.56583
219,Sand,34.586663,77.564134
220,Sand,34.589461,77.570305
221,Sand,34.586642,77.57766
222,Sand,34.589204,77.578431
223,Sand,34.581364,77.581063
224,Sand,34.597395,77.589747
225,Sand,34.598003,77.59641
226,Sand,34.600035,77.601404
227,Sand,34.605665,77.60693
228,Sand,34.602925,77.595476
229,Sand,34.61007,77.590971
230,Sand,34.626968,77.583513
231,Sand,34.633045,77.576384
232,Sand,34.565579,77.604389
233,Sand,34.57225,77.598134
234,Sand,34.579533,77.602355
235,Sand,34.576168,77.607556
236,Sand,34.5713,77.609988
237,Sand,34.56281,77.608205
238,Sand,34.567624,77.599249
239,Snow,34.564221,77.380011
